dataset,method,RMSD_within_2Å,PB_Valid,RMSD_within_2Å_and_PB_Valid,similarity,data_number
astex_diverse_set,AutoDock_Vina,0.0,100.0,0.0,0.6,3
astex_diverse_set,AutoDock_Vina,33.33333333333333,83.33333333333334,33.33333333333333,0.7,6
astex_diverse_set,AutoDock_Vina,50.0,75.0,37.5,0.8,8
astex_diverse_set,AutoDock_Vina,54.54545454545454,72.72727272727273,36.36363636363637,0.9,11
astex_diverse_set,glideSP,66.66666666666666,100.0,66.66666666666666,0.6,3
astex_diverse_set,glideSP,83.33333333333334,100.0,83.33333333333334,0.7,6
astex_diverse_set,glideSP,75.0,100.0,75.0,0.8,8
astex_diverse_set,glideSP,72.72727272727273,100.0,72.72727272727273,0.9,11
astex_diverse_set,DiffBindFR_mdn_ec,33.33333333333333,33.33333333333333,0.0,0.6,3
astex_diverse_set,DiffBindFR_mdn_ec,33.33333333333333,50.0,16.666666666666664,0.7,6
astex_diverse_set,DiffBindFR_mdn_ec,37.5,62.5,25.0,0.8,8
astex_diverse_set,DiffBindFR_mdn_ec,45.45454545454545,63.63636363636363,36.36363636363637,0.9,11
astex_diverse_set,DiffBindFR_smina_ec,33.33333333333333,33.33333333333333,0.0,0.6,3
astex_diverse_set,DiffBindFR_smina_ec,50.0,66.66666666666666,33.33333333333333,0.7,6
astex_diverse_set,DiffBindFR_smina_ec,50.0,50.0,25.0,0.8,8
astex_diverse_set,DiffBindFR_smina_ec,54.54545454545454,54.54545454545454,36.36363636363637,0.9,11
astex_diverse_set,DynamicBind,0.0,0.0,0.0,0.6,3
astex_diverse_set,DynamicBind,0.0,0.0,0.0,0.7,6
astex_diverse_set,DynamicBind,0.0,0.0,0.0,0.8,8
astex_diverse_set,DynamicBind,9.090909090909092,0.0,0.0,0.9,11
astex_diverse_set,DynamicBind_relaxed,0.0,0.0,0.0,0.6,3
astex_diverse_set,DynamicBind_relaxed,0.0,0.0,0.0,0.7,6
astex_diverse_set,DynamicBind_relaxed,0.0,0.0,0.0,0.8,8
astex_diverse_set,DynamicBind_relaxed,9.090909090909092,0.0,0.0,0.9,11
astex_diverse_set,SurfDock,33.33333333333333,33.33333333333333,33.33333333333333,0.6,3
astex_diverse_set,SurfDock,66.66666666666666,66.66666666666666,66.66666666666666,0.7,6
astex_diverse_set,SurfDock,75.0,75.0,75.0,0.8,8
astex_diverse_set,SurfDock,81.81818181818183,81.81818181818183,81.81818181818183,0.9,11
astex_diverse_set,GAABind,66.66666666666666,0.0,0.0,0.6,3
astex_diverse_set,GAABind,66.66666666666666,0.0,0.0,0.7,6
astex_diverse_set,GAABind,75.0,12.5,12.5,0.8,8
astex_diverse_set,GAABind,63.63636363636363,18.181818181818183,9.090909090909092,0.9,11
astex_diverse_set,Interformer_Energy,33.33333333333333,33.33333333333333,33.33333333333333,0.6,3
astex_diverse_set,Interformer_Energy,66.66666666666666,66.66666666666666,66.66666666666666,0.7,6
astex_diverse_set,Interformer_Energy,75.0,62.5,62.5,0.8,8
astex_diverse_set,Interformer_Energy,72.72727272727273,72.72727272727273,63.63636363636363,0.9,11
astex_diverse_set,Interformer_PoseScore,33.33333333333333,33.33333333333333,0.0,0.6,3
astex_diverse_set,Interformer_PoseScore,33.33333333333333,66.66666666666666,16.666666666666664,0.7,6
astex_diverse_set,Interformer_PoseScore,50.0,62.5,25.0,0.8,8
astex_diverse_set,Interformer_PoseScore,54.54545454545454,72.72727272727273,36.36363636363637,0.9,11
astex_diverse_set,KarmaDock,33.33333333333333,0.0,0.0,0.6,3
astex_diverse_set,KarmaDock,33.33333333333333,0.0,0.0,0.7,6
astex_diverse_set,KarmaDock,37.5,0.0,0.0,0.8,8
astex_diverse_set,KarmaDock,27.27272727272727,0.0,0.0,0.9,11
astex_diverse_set,KarmaDock_align,0.0,0.0,0.0,0.6,3
astex_diverse_set,KarmaDock_align,33.33333333333333,0.0,0.0,0.7,6
astex_diverse_set,KarmaDock_align,25.0,0.0,0.0,0.8,8
astex_diverse_set,KarmaDock_align,18.181818181818183,0.0,0.0,0.9,11
astex_diverse_set,KarmaDock_ff,33.33333333333333,0.0,0.0,0.6,3
astex_diverse_set,KarmaDock_ff,33.33333333333333,0.0,0.0,0.7,6
astex_diverse_set,KarmaDock_ff,37.5,0.0,0.0,0.8,8
astex_diverse_set,KarmaDock_ff,27.27272727272727,0.0,0.0,0.9,11
astex_diverse_set,QuickBind,0.0,0.0,0.0,0.6,3
astex_diverse_set,QuickBind,0.0,0.0,0.0,0.7,6
astex_diverse_set,QuickBind,0.0,0.0,0.0,0.8,8
astex_diverse_set,QuickBind,9.090909090909092,0.0,0.0,0.9,11
